Name of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",State,"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
Jack,1,21,male,11,A00187011_006,1777-08-13,Shewsbury,New Jersey,"Parker, Josiah","Parker, Josiah",male,"Wardell, Joseph;
Williams, Edmund;
Tilton, Obadiah;
Parker, Josiah","Wardell, Joseph;
Williams, Edmund;
Tilton, Obadiah;
Parker, Josiah",Shrewsbury,,,,ZM,WGC
Jacob,19,21,male,11,A00187011_006,1778-11-02,Middletown,New Jersey,"Grover, James","Grover, James",male,"Jackson, Benjamin;
Tilton, Obadiah;
Tilton, Nathan;
Grover, James","Jackson, Benjamin;
Tilton, Obadiah;
Tilton, Nathan;
Grover, James",Shrewsbury,,,,ZM,WGC
Joseph,21,21,male,13,A00187011_007,1778-01-26,Shrewsbury,New Jersey,"Parker, Josiah","Parker, Josiah",male,"Tilton, Obadiah;
Parker, Josiah","Tilton, Obadiah;
Parker, Josiah",Shrewsbury,,,,ZM,WGC
Samuel,19,21,male,13,A00187011_007,1778-01-26,Shrewsbury,New Jersey,"Parker, Josiah","Parker, Josiah",male,"Tilton, Obadiah;
Parker, Josiah","Tilton, Obadiah;
Parker, Josiah",Shrewsbury,,,,ZM,WGC
Ann,50,50,female,15,A00187011_008,1778-07-13,Shrewsbury,New Jersey,"Williams, Elihu","Williams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,,ZM,WGC
Col,24,24,male,15,A00187011_008,1778-01-26,Shrewsbury,New Jersey,"Parker, Josiah","Parker, Josiah",male,"Tilton, Obadiah;
Parker, Josiah","Tilton, Obadiah;
Parker, Josiah",Shrewsbury,,,,ZM,WGC
Jonathan,14,21,male,15,A00187011_009,1778-07-13,Shrewsbury,New Jersey,"Wiilliams, Elihu","Wiilliams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,,ZM,WGC
Moses,27,27,male,17,A00187011_010,1778-11-02,Middletown,New Jersey,"Grover, James","Grover, James",male,"Tilton, Nathan;
Grover, James","Tilton, Nathan;
Grover, James",Shrewsbury,,,,ZM,WGC
Rachel,20,25,female,19,A00187011_011,1778-07-13,Shrewsbury,New Jersey,"Williams, Elihu","Williams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,,ZM,WGC
George,16,25,male,19,A00187011_011,1778-07-13,Shrewsbury,New Jersey,"Williams, Elihu","Williams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,,ZM,WGC
Ann,16,25,female,19,A00187011_011,1778-07-13,Shrewsbury,New Jersey,"Williams, Elihu","Williams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,,ZM,WGC
Seser,30,30,male,21,A00187011_012,1778-07-13,Shrewsbury,New Jersey,"Williams, Elihu","Williams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,,ZM,WGC
William,26,26,male,21,A00187011_012,1778-07-13,Shrewsbury,New Jersey,"Williams, Elihu","Williams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,,ZM,WGC
Abraham,23,23,male,21,A00187011_012,1778-07-13,Shrewsbury,New Jersey,"Williams, Elihu","Williams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,,ZM,WGC
George,2,21,male,21,A00187011_012,1778-07-13,Shrewsbury,New Jersey,"Williams, Elihu","Williams, Elihu",male,"Wright, Jonn.;
Jackson, Benjamin;
Wlliams, Elihu","Wright, Jonathan;
Jackson, Benjamin;
Wlliams, Elihu",Shrewsbury,,,son of Rachel,ZM,WGC
Abraham,35,35,male,23,A00187011_013,1779-07-05,Middletown,New Jersey,"Hawthorne, Esekiel","Hawthorne, Esekiel",male,"Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esek.","Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esekiel",Shrewsbury,,,husband of Jane,ZM,WGC
Jane,28,28,female,23,A00187011_013,1779-07-05,Middletown,New Jersey,"Hawthorne, Esekiel","Hawthorne, Esekiel",male,"Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esek.","Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esekiel",Shrewsbury,,,wife of Abraham,ZM,WGC
Petar,17,21,male,23,A00187011_013,1779-07-05,Middletown,New Jersey,"Hawthorne, Esekiel","Hawthorne, Esekiel",male,"Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esek.","Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esekiel",Shrewsbury,,,,ZM,WGC
Ben,10,21,male,23,A00187011_013,1779-07-05,Middletown,New Jersey,"Hawthorne, Esekiel","Hawthorne, Esekiel",male,"Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esek.","Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esekiel",Shrewsbury,,,,ZM,WGC
Robin,8,21,male,23,A00187011_013,1779-07-05,Middletown,New Jersey,"Hawthorne, Esekiel","Hawthorne, Esekiel",male,"Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esek.","Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esekiel",Shrewsbury,,,,ZM,WGC
Aaron,6,21,male,23,A00187011_013,1779-07-05,Middletown,New Jersey,"Hawthorne, Esekiel","Hawthorne, Esekiel",male,"Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esek.","Robinson, Sarah;
Bardge, Jacob;
Hawthorne, Esekiel",Shrewsbury,,,,ZM,WGC
Neanus,--,--,male,25,A00187011_014,1779-07-13,Shrewsbury,New Jersey,"Parker, William","Parker, William",male,"Parker, Joseph;
Embree, Lawrence;
Parker, Wm.","Parker, Joseph;
Embree, Lawrence;
Parker, Wm.",Shrewsbury,,,,ZM,WGC
Robert Johnston,--,--,male,25,A00187011_014,1780-10-02,Shrewsbury,New Jersey,"Parker, William","Parker, William",male,"Hartshorne, John;
Parker, Wm.","Hartshorne, John;
Parker, William",Shrewsbury,,,,ZM,WGC
Lewis,13,21,male,35,A00187011_015,1780-07-03,Middletown,New Jersey,"Hartshorne, Esek","Hartshorne, Esek",male,"Hartshorne, Robt.;
Hartshorne, Esek","Hartshorne, Robert;
Hartshorne, Esek",Shrewsbury,,,,ZM,WGC
Franny Leffers,11,18,female,37,A00187011_016,1782-03-01,Middletown,New Jersey,"Hedger, Elisabeth","Hedger, Elisabeth",female,"Bowne, Robt.;
Wright, Jonn.;
Hedger, Elisabeth","Bowne, Robt.;
Wright, Jonn.;
Hedger, Elisabeth",Shrewsbury,,,,ZM,WGC
Mink,18,21,male,37,A00187011_017,1782-07-29,Shrewsbury,New Jersey,"Tilton, David","Tilton, David",male,"Wright, Jonn.;
Boude, John;
Tilton, David","Wright, Jonathan;
Boude, John;
Tilton, David",Shrewsbury,,,,ZM,WGC
Edward,18,18,male,39,A00187011_018,1787-08-14,Shrewsbury,New Jersey,"White, Jane;
White, Peter;
Lippincott, Hannah;
White, Jane Jr.;
White, Lydia;
White, Elizabeth","White, Jane;
White, Peter;
Lippincott, Hannah;
White, Jane Jr.;
White, Lydia;
White, Elizabeth",male; female,"Worey, Mary;
White, Patience;
White, Jane;
White, Peter;
Lippincott, Hannah;
White, Jane Jr.;
White, Lydia;
White, Elizabeth","Worey, Mary;
White, Patience;
White, Jane;
White, Peter;
Lippincott, Hannah;
White, Jane Jr.;
White, Lydia;
White, Elizabeth",Shrewsbury,,,,ZM,WGC
Tom,17,27,male,41,A00187011_019,1789-12-31,Shrewsbury,New Jersey,"Potter, David","Potter, David",male,"Corties, Benjamin;
Corties, Deborah;
Potter, David","Corties, Benjamin;
Corties, Deborah;
Potter, David",Shrewsbury,,,,ZM,WGC
Rose Bule,17,21,female,43,A00187011_020,1802-03-09,Shrewsbury,New Jersey,"Lloyd, William","Lloyd, William",male,"Hartshorne, Willm.;
Hartshorne, Sarah;
Lloyd, William","Hartshorne, William;
Hartshorne, Sarah;
Lloyd, William",Shrewsbury,,,,ZM,WGC
